"FT","username","relative_path","tile","correct"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_1","ValeriaContessa/","dggrid_EU/dggrid_","EU_1","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_10","ValeriaContessa/","dggrid_EU/dggrid_","EU_10","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_11","ValeriaContessa/","dggrid_EU/dggrid_","EU_11","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_12","ValeriaContessa/","dggrid_EU/dggrid_","EU_12","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_13","ValeriaContessa/","dggrid_EU/dggrid_","EU_13","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_14","ValeriaContessa/","dggrid_EU/dggrid_","EU_14","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_15","ValeriaContessa/","dggrid_EU/dggrid_","EU_15","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_16","ValeriaContessa/","dggrid_EU/dggrid_","EU_16","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_17","ValeriaContessa/","dggrid_EU/dggrid_","EU_17","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_18","ValeriaContessa/","dggrid_EU/dggrid_","EU_18","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_19","ValeriaContessa/","dggrid_EU/dggrid_","EU_19","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_2","ValeriaContessa/","dggrid_EU/dggrid_","EU_2","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_20","ValeriaContessa/","dggrid_EU/dggrid_","EU_20","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_21","ValeriaContessa/","dggrid_EU/dggrid_","EU_21","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_22","ValeriaContessa/","dggrid_EU/dggrid_","EU_22","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_23","ValeriaContessa/","dggrid_EU/dggrid_","EU_23","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_24","ValeriaContessa/","dggrid_EU/dggrid_","EU_24","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_25","ValeriaContessa/","dggrid_EU/dggrid_","EU_25","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_26","ValeriaContessa/","dggrid_EU/dggrid_","EU_26","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_27","ValeriaContessa/","dggrid_EU/dggrid_","EU_27","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_28","ValeriaContessa/","dggrid_EU/dggrid_","EU_28","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_3","ValeriaContessa/","dggrid_EU/dggrid_","EU_3","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_4","ValeriaContessa/","dggrid_EU/dggrid_","EU_4","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_5","ValeriaContessa/","dggrid_EU/dggrid_","EU_5","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_6","ValeriaContessa/","dggrid_EU/dggrid_","EU_6","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_7","ValeriaContessa/","dggrid_EU/dggrid_","EU_7","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_8","ValeriaContessa/","dggrid_EU/dggrid_","EU_8","correct_EU"
"users/ValeriaContessa/dggrid_EU/dggrid_EU_9","ValeriaContessa/","dggrid_EU/dggrid_","EU_9","correct_EU"
"users/EL/dggrid_Greenland_Iceland_1","EL/","dggrid_","Greenland_Iceland_1",""
"users/EL/dggrid_Greenland_Iceland_2","EL/","dggrid_","Greenland_Iceland_2",""
"users/EL/dggrid_Greenland_Iceland_3","EL/","dggrid_","Greenland_Iceland_3",""
"users/EL/dggrid_Greenland_Iceland_4","EL/","dggrid_","Greenland_Iceland_4",""
"users/EL/dggrid_Greenland_Iceland_5","EL/","dggrid_","Greenland_Iceland_5",""
"users/EL/dggrid_Greenland_Iceland_6","EL/","dggrid_","Greenland_Iceland_6",""
"users/EL/dggrid_Greenland_Iceland_7","EL/","dggrid_","Greenland_Iceland_7",""
"users/EL/dggrid_Greenland_Iceland_8","EL/","dggrid_","Greenland_Iceland_8",""
"users/EL/dggrid_Greenland_Iceland_9","EL/","dggrid_","Greenland_Iceland_9",""
"users/EL/dggrid_Greenland_Iceland_10","EL/","dggrid_","Greenland_Iceland_10",""
"users/EL/dggrid_Greenland_Iceland_11","EL/","dggrid_","Greenland_Iceland_11",""
"users/EL/dggrid_Greenland_Iceland_12","EL/","dggrid_","Greenland_Iceland_12",""
"users/EL/dggrid_Greenland_Iceland_13","EL/","dggrid_","Greenland_Iceland_13",""
"users/EL/dggrid_Greenland_Iceland_14","EL/","dggrid_","Greenland_Iceland_14",""
"users/EL/dggrid_NearEast_1","EL/","dggrid_","NearEast_1",""
"users/EL/dggrid_NearEast_2","EL/","dggrid_","NearEast_2",""
"users/EL/dggrid_NearEast_3","EL/","dggrid_","NearEast_3",""
"users/EL/dggrid_NearEast_4","EL/","dggrid_","NearEast_4",""
